Symbol, Total Value, Profitable Value, Giveaway Value, Best Future Value, earningsQuarterlyGrowth, priceToBook, forwardPE, pegRatio, 52WeekChange, marketPrice, Industry, earningsDate, recommendation
OMC,978,201,350,70,0.08,5.2619143,11.679927,4.08,-0.21010154,63.96,Communication Services,2/8/2021, 6:00:00 PM,{"period":"0m","strongBuy":1,"buy":3,"hold":9,"sell":3,"strongSell":0}
MET,983,402,255,10,-0.677,0.5828732,7.538338,2.31,-0.06517434,47.55,Financial Services,2/2/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":6,"hold":6,"sell":0,"strongSell":1}
BXP,987,291,85,401,-0.162,2.624216,35.83513,2.39,-0.26295608,101.9,Real Estate,1/25/2021, 6:00:00 PM,{"period":"0m","strongBuy":2,"buy":5,"hold":15,"sell":0,"strongSell":0}
CHTR,995,36,108,381,1.103,5.4715033,31.050978,0.9,0.3860451,658.04,Communication Services,1/28/2021, 6:00:00 PM,{"period":"0m","strongBuy":5,"buy":12,"hold":9,"sell":0,"strongSell":0}
FBHS,999,76,223,197,0.559,4.399049,17.708511,1.82,0.2714635,83.94,Consumer Cyclical,1/26/2021, 6:00:00 PM,{"period":"0m","strongBuy":5,"buy":6,"hold":11,"sell":0,"strongSell":0}
ABT,1000,121,34,306,0.283,6.043255,24.322725,2.26,0.23865736,106.52,Healthcare,1/19/2021, 6:00:00 PM,{"period":"0m","strongBuy":7,"buy":6,"hold":7,"sell":0,"strongSell":0}
AJG,1001,96,22,325,0.4,3.9965348,25.683084,2.32,0.26226068,119.51,Financial Services,1/27/2021, 6:00:00 PM,{"period":"0m","strongBuy":3,"buy":4,"hold":8,"sell":1,"strongSell":0}
IPG,1002,60,214,98,0.689,3.4239907,13,13.18,0.04499781,23.64,Communication Services,2/9/2021, 6:00:00 PM,{"period":"0m","strongBuy":5,"buy":5,"hold":5,"sell":1,"strongSell":0}
LEG,1005,213,281,150,0.052,4.1984496,15.653991,3.95,-0.19558424,42.55,Consumer Cyclical,2/7/2021, 6:00:00 PM,{"period":"0m","strongBuy":1,"buy":4,"hold":3,"sell":0,"strongSell":0}
ORLY,1006,108,376,223,0.347,46.279575,19.34946,1.5,0.016843796,446,Consumer Cyclical,2/2/2021, 6:00:00 PM,{"period":"0m","strongBuy":11,"buy":5,"hold":10,"sell":0,"strongSell":0}
BAX,1008,250,100,282,-0.035,4.730503,22.47592,2.89,-0.053899407,79.16,Healthcare,10/28/2020, 7:00:00 PM,{"period":"0m","strongBuy":2,"buy":4,"hold":9,"sell":1,"strongSell":0}
DRI,1011,415,167,208,-0.788,6.1794863,18.358307,0.93,-0.028443336,115.44,Consumer Cyclical,12/17/2020, 6:00:00 PM,{"period":"0m","strongBuy":6,"buy":3,"hold":17,"sell":1,"strongSell":0}
GOOGL,1012,69,32,360,0.591,5.649189,28.981058,2.07,0.30432868,1767.65,Communication Services,1/31/2021, 6:00:00 PM,{"period":"0m","strongBuy":13,"buy":25,"hold":5,"sell":0,"strongSell":0}
